Action_Category,Specific_Action,Active_Substance_Code,Active_Substance_Name,Chemical_Class,Mode_of_Action,Application_Method_Dosage,Expected_Result,Efficacy_Level,Target_Crops
GROWTH_REGULATION,Lodging prevention,Chlormequat Chloride,CCC,Quaternary ammonium,GA biosynthesis inhibitor,"250-500 ppm once in the second half of June, at the beginning of creeping stem emergence (early July), at a rate of one liter of the spray solution per 10 square meters enhanced anthesis and fruit ripening by about 10 days","3-week Cooling, and C2 concentration (500 ppm) were superior, respectively, to the traits of fruit weight, length of production period, and per-plant productivit",HIGH,"Wheat, barley, ornamentals"
GROWTH_REGULATION,Internode control,Trinexapac-ethyl,Trinexapac,Acylcyclohexanedione,GA biosynthesis inhibitor,Apply 100-400 ppm foliar spray,Controlled internode length,HIGH,"Turfgrass, cereals"
FOLIAR_APPLICATION,Metabolic enhancement,Riboflavin,Vitamin B2,Vitamin,Redox cofactor,Apply 50-200 ppm foliar spray,Enhanced disease resistance and growth,MEDIUM,All crops
FOLIAR_APPLICATION,Amino acid metabolism,Pyridoxine,Vitamin B6,Vitamin,Enzyme cofactor,Apply 25-100 ppm foliar spray,Improved stress tolerance,LOW,Specialty applications
FOLIAR_APPLICATION,Osmoprotection,Inositol,myo-Inositol,Vitamin-like,Signal precursor,Apply 100-500 ppm foliar spray,Enhanced osmotic stress tolerance,MEDIUM,Crops under water stress
FOLIAR_APPLICATION,Nitrogen metabolism,Glutamic Acid,L-Glutamate,Amino Acid,N metabolism enhancer,Apply 200-1000 ppm foliar spray,Enhanced nitrogen utilization,MEDIUM,"All crops, especially during N stress"
FOLIAR_APPLICATION,Protein synthesis,Glycine,Glycine,Amino Acid,Protein building block,Apply 100-500 ppm foliar spray,Enhanced protein synthesis and growth,MEDIUM,All crops during vegetative growth
ROOT_DEVELOPMENT,Auxin precursor,Tryptophan,L-Tryptophan,Amino Acid,IAA precursor,Apply 100-500 ppm as root drench,Natural auxin production enhancement,MEDIUM,"Rooting applications, transplants"
FOLIAR_APPLICATION,TCA cycle enhancement,Malic Acid,L-Malic acid,Organic Acid,Metabolic intermediate,Apply 200-1000 ppm foliar spray,Enhanced respiratory metabolism,MEDIUM,All crops during fruit development
FOLIAR_APPLICATION,Antioxidant enzyme activation,Citric Acid,Citric acid,Organic Acid,Metal chelator,Apply 500-2000 ppm foliar spray,"Enhanced antioxidant activity, micronutrient uptake",MEDIUM,Crops with micronutrient deficiency
SOIL_APPLICATION,Nutrient chelation,Polyaspartic Acid,PASP,Synthetic polymer,Biodegradable chelator,Apply 1-5 kg/ha with fertilizer,Enhanced fertilizer efficiency,HIGH,"All crops, sustainable agriculture"
FOLIAR_APPLICATION,Penetration enhancement,DMSO,Dimethyl sulfoxide,Solvent,Penetration enhancer,Use at 0.1-1% in spray solutions,Enhanced uptake of other compounds,HIGH,As adjuvant with other treatments
SOIL_APPLICATION,Sprouting inhibition,Maleic Hydrazide,MH,Diazine,Growth inhibitor,Apply 2-8 kg/ha post-harvest,Long-term sprouting suppression,HIGH,"Potatoes, onions in storage"
FRUIT_MANAGEMENT,Dormancy breaking,Cyanamide,Hydrogen cyanamide,Nitrile,Dormancy breaker,Apply 2-5% spray during dormant season,Uniform bud break and flowering,HIGH,Deciduous fruit trees in warm climates
FOLIAR_APPLICATION,Greening effect,Pyraclostrobin,Pyraclostrobin,Strobilurin fungicide,Respiration inhibitor + ethylene suppression,Apply 100-200 g/ha as per label,Disease control + delayed senescence,HIGH,All crops with fungicide programs
FOLIAR_APPLICATION,Growth retardation + disease control,Tebuconazole,Tebuconazole,Triazole fungicide,Sterol biosynthesis inhibitor,Apply as per fungicide label,Disease control + plant growth regulation,HIGH,"Cereals, fruit trees"
SEED_TREATMENT,Growth stimulation at low dose,Thiamethoxam,Thiamethoxam,Neonicotinoid,nAChR agonist,Apply at very low sub-insecticidal rates,Mild growth stimulation (controversial),LOW,Research only - regulatory restrictions
FOLIAR_APPLICATION,Cytokinin-like activity,Ascophyllum extract,Seaweed extract,Marine biostimulant,Multiple bioactive compounds,Apply 2-5 L/ha foliar spray,Enhanced growth and stress tolerance,MEDIUM,"All crops, organic systems"
SOIL_APPLICATION,Root development + nutrient chelation,Leonardite extract,Humic substances,Natural biostimulant,Humic/fulvic acids,Apply 5-20 kg/ha soil incorporation,Enhanced root growth and nutrient uptake,HIGH,"All crops, especially poor soils"
FOLIAR_APPLICATION,Meristem maintenance,CLE peptides,CLAVATA3/ESR peptides,Peptide hormone,Cell-cell signaling,Apply 1-10 ppm foliar (research stage),Controlled meristem activity,LOW,Research applications only
FOLIAR_APPLICATION,Wound response,Systemin,18-amino acid peptide,Peptide hormone,Defense signaling,Apply 0.1-1 ppm foliar (research),Enhanced defense against herbivores,LOW,Solanaceae family (research)
SEED_TREATMENT,Multi-target signaling,Nitric Oxide donor,SNP/GSNO,Gasotransmitter,Multi-pathway signaling,Apply 10-100 ppm seed priming,Enhanced stress tolerance and growth,MEDIUM,"Research applications, stressed conditions"
FOLIAR_APPLICATION,Antioxidant signaling,Hydrogen Sulfide donor,NaHS,Gasotransmitter,Antioxidant pathway activation,Apply 10-100 ppm foliar spray,Enhanced antioxidant capacity,MEDIUM,Research applications
FOLIAR_APPLICATION,Defense priming,Green Leaf Volatiles,Z-3-hexenol/hexenal,Volatile compounds,Airborne signaling,Apply 10-50 ppm foliar spray,Primed defense responses,MEDIUM,Integrated pest management
FOLIAR_APPLICATION,Circadian regulation,Melatonin,N-acetyl-5-methoxytryptamine,Indolamine,Circadian rhythm regulator,Apply 10-100 ppm foliar spray,"Enhanced stress tolerance, antioxidant activity",MEDIUM,Crops under stress conditions
SEED_TREATMENT,Dormancy breaking,GA1,Gibberellin A1,Gibberellin,Growth hormone,Apply 50-200 ppm for seed treatment 12-24 hours,Enhanced germination of dormant seeds,HIGH,"Seeds with deep dormancy, cereals"
FOLIAR_APPLICATION,Stem elongation,GA4,Gibberellin A4,Gibberellin,Growth promoter,20ppm,"Increased internode length, plant height",HIGH,"Dwarf varieties, ornamentals"
FOLIAR_APPLICATION,Flowering induction,GA7,Gibberellin A7,Gibberellin,Flowering promoter,20ppm,"Accelerated flowering, uniform bloom",MEDIUM,"Ornamental plants, controlled flowering"
FOLIAR_APPLICATION,Fruit development,GA20,Gibberellin A20,Gibberellin,Fruit size enhancer,Apply 25-100 ppm during fruit set,Increased fruit size and quality,MEDIUM,"Fruit crops, grape clusters"
FRUIT_MANAGEMENT,Fruit thinning,NAD,Naphthyl Acetamide,Auxin,Selective thinning agent,Apply 15-30 ppm spray post fruit set,"Selective fruit drop, improved fruit quality",HIGH,"Stone fruits, citrus"
GROWTH_REGULATION,Apical dominance control,3-CPA,3-Chlorophenoxyacetic acid,Auxin,Branching promoter,Apply 25-75 ppm foliar spray,"Reduced apical dominance, increased branching",MEDIUM,"Ornamentals, vegetable crops"
FRUIT_MANAGEMENT,Fruit set enhancement,BNOA,2-Naphthoxyacetic acid,Auxin,Fruit set promoter,Apply 20-50 ppm spray during flowering,"Enhanced fruit set, reduced fruit drop",HIGH,"Citrus, tomatoes, peppers"
ROOT_DEVELOPMENT,Auxin transport inhibition,TIBA,"2,3,5-Triiodobenzoic acid",Auxin transport inhibitor,Gravitropic response modifier,Apply 10-50 ppm as research tool,Modified root/shoot development responses,LOW,"Research applications, plant studies"
ROOT_DEVELOPMENT,Polar auxin transport blocking,NPA,N-Phenylphthalamic acid,Auxin transport inhibitor,Development research tool,Apply 1-10 ppm research treatment,"Blocked auxin transport, modified development",LOW,Research applications only
FOLIAR_APPLICATION,Senescence delay,Kinetin,6-Furfurylaminopurine,Cytokinin,Anti-aging hormone,Apply 10-50 ppm foliar spray,"Delayed leaf senescence, maintained green color",HIGH,"Leafy vegetables, cut flowers"
FOLIAR_APPLICATION,Shoot development,Zeatin,Trans-zeatin,Cytokinin,Natural cytokinin,Apply 5-25 ppm foliar spray,"Trans-zeatin concentrations peaked in flower buds and at anthesis (flower opening), then declined as the fruit matured. crucial during early flower and receptacle formation",HIGH,"Tissue culture, propagation"
FOLIAR_APPLICATION,Cell division enhancement,Zeatin riboside,Zeatin riboside,Cytokinin,Mobile cytokinin form,Apply 10-30 ppm foliar spray,Enhanced cell division and shoot growth,MEDIUM,"Young plants, tissue culture"
FOLIAR_APPLICATION,Tissue differentiation,Dihydrozeatin,Dihydrozeatin,Cytokinin,Differentiation promoter,Apply 5-20 ppm foliar spray,Enhanced tissue differentiation and development,MEDIUM,"Tissue culture, micropropagation"
FOLIAR_APPLICATION,Weak cytokinin activity,2iP,N6-Isopentenyladenine,Cytokinin,Mild growth promoter,Apply 25-75 ppm foliar spray,"Mild cytokinin effects, stress tolerance",MEDIUM,"Specialty applications, research"
FOLIAR_APPLICATION,Metabolic enhancement,Riboprine,"6-(3,3-Dimethylallylaminopurine) riboside",Cytokinin analog,Metabolic activator,Apply 10-40 ppm foliar spray,Enhanced metabolism and growth,LOW,"Research applications, specialty crops"
FOLIAR_APPLICATION,Vascular differentiation,Castasterone,Castasterone,Brassinosteroid,Vascular development enhancer,Apply 0.1-1 ppm foliar spray,Enhanced vascular development and strength,MEDIUM,"Young plants, tree seedlings"
FOLIAR_APPLICATION,Cell wall strengthening,Typhasterol,Typhasterol,Brassinosteroid,Cell wall enhancer,Apply 0.1-0.5 ppm foliar spray,"Strengthened cell walls, improved structure",MEDIUM,"All crops, stress conditions"
FOLIAR_APPLICATION,Enhanced stress tolerance,"22,23,24-Trisepibrassinolide","22,23,24-Trisepibrassinolide",Brassinosteroid,Multi-stress protector,Apply 0.05-0.5 ppm foliar spray,Enhanced tolerance to multiple stresses,MEDIUM,Crops under various stress conditions
GROWTH_REGULATION,Morphogenesis control,14-Hydroxylated brassinosteroid,14-Hydroxylated brassinosteroid,Brassinosteroid,Development regulator,Apply 0.1-0.5 ppm foliar spray,Controlled plant morphogenesis,LOW,"Research applications, specialty uses"
FOLIAR_APPLICATION,Protein storage enhancement,JA-Ile,Jasmonic acid-isoleucine,Jasmonate,Storage protein inducer,Apply 25-100 ppm foliar spray,"Enhanced protein accumulation, seed quality",MEDIUM,"Legumes, protein crops"
FOLIAR_APPLICATION,Defense response,PDJ,Propyl dihydrojasmonate,Synthetic jasmonate,Defense activator,Apply 50-200 ppm foliar spray,"Enhanced defense responses, stress tolerance",HIGH,Crops under pest/pathogen pressure
FOLIAR_APPLICATION,Natural jasmonate,Jasmonic acid,Jasmonic acid,Jasmonate,Wound response hormone,Apply 100-500 ppm foliar spray,"Activated defense responses, wound healing",MEDIUM,"All crops, integrated pest management"
ROOT_DEVELOPMENT,Natural strigolactone,Strigol,Strigol,Strigolactone,Root development signal,Apply 0.1-1 ppm soil drench,"Enhanced root development, reduced branching",MEDIUM,"Research applications, specialty crops"
ROOT_DEVELOPMENT,Branching inhibitor,Orobanchol,Orobanchol,Strigolactone,Shoot branching suppressor,Apply 0.1-1 ppm soil application,"Reduced lateral branching, enhanced main stem",MEDIUM,"Research applications, plant architecture"
ROOT_DEVELOPMENT,Root architecture modifier,5-Deoxystrigol,5-Deoxystrigol,Strigolactone,Root development enhancer,Apply 0.1-1 ppm soil drench,"Modified root architecture, enhanced uptake",LOW,"Research applications, root studies"
ROOT_DEVELOPMENT,Specialized strigolactone,Solanacol,Solanacol,Strigolactone,Species-specific signal,Apply 0.1-1 ppm soil treatment,Species-specific developmental responses,LOW,"Research applications, Solanaceae"
SEED_TREATMENT,Smoke response,KAR2,Karrikin-2,Karrikin,Smoke-induced germination,Apply 1-10 ppm seed treatment,Enhanced germination response to smoke signals,MEDIUM,"Fire-adapted species, native plants"
SEED_TREATMENT,Fire adaptation,KAR3,Karrikin-3,Karrikin,Fire-responsive germination,Apply 1-10 ppm seed soaking,Improved germination in fire-adapted species,MEDIUM,"Native plants, restoration ecology"
FRUIT_MANAGEMENT,Natural stress hormone,S-ABA,S-Abscisic acid,ABA,Natural stress regulator,Apply 100-500 ppm foliar spray,"Enhanced stress tolerance, controlled ripening",HIGH,"Grapes, stress management"
FRUIT_MANAGEMENT,Natural ripening hormone,Ethylene,Ethylene gas,Ethylene,Ripening promoter,Apply 100-1000 ppm gas treatment,"Natural fruit ripening, flower senescence",HIGH,"Fruit crops, controlled ripening"
FOLIAR_APPLICATION,Stress tolerance,Putrescine,Putrescine,Polyamine,,Apply 50-200 ppm foliar spray,"Improved stress resilience, fruit firmness",MEDIUM,All crops
FOLIAR_APPLICATION,Cell division,Spermidine,Spermidine,Polyamine,,Apply 50-200 ppm foliar spray,Enhanced cell proliferation,MEDIUM,All crops
FOLIAR_APPLICATION,Membrane stabilization,Spermine,Spermine,Polyamine,,Apply 50-200 ppm foliar spray,Improved cell integrity,LOW,Research use
SEED_TREATMENT,Stress signaling,Carbon monoxide,Carbon Monoxide,Gasotransmitter,,Apply 10-100 ppm seed priming,Enhanced stress signaling,LOW,Research use
FOLIAR_APPLICATION,Defense signaling,HypSys peptides,HypSys peptides,Peptide,,Apply 1-10 ppm foliar spray,Induced defense genes,LOW,Solanaceae research
FOLIAR_APPLICATION,Root-shoot communication,CLE25,CLE25,Peptide,,Apply 1-10 ppm foliar spray,Improved water use regulation,LOW,Research use
FOLIAR_APPLICATION,Meristem maintenance,CLV3,CLV3,Peptide,,Apply 1-10 ppm foliar spray,Enhanced meristem activity,LOW,Tissue culture
FOLIAR_APPLICATION,Developmental signaling,CLE40,CLE40,Peptide,,Apply 1-10 ppm foliar spray,Controlled organogenesis,LOW,Research use
FOLIAR_APPLICATION,Vascular development,CLE41-44,CLE41-44,Peptide,,Apply 1-10 ppm foliar spray,Improved vascular differentiation,LOW,Research use
FOLIAR_APPLICATION,Vascular signaling,TDIF CLE4144,TDIF CLE4144,Peptide,,Apply 1-10 ppm foliar spray,Enhanced xylem development,LOW,Research use
FOLIAR_APPLICATION,Florigen signaling,Hd3a,Hd3a (rice),Peptide,,Apply 1-10 ppm foliar spray,Induced flowering,LOW,Rice research
FOLIAR_APPLICATION,Florigen signaling,ZCN8,ZCN8 (maize),Peptide,,Apply 1-10 ppm foliar spray,Induced flowering,LOW,Maize research
FOLIAR_APPLICATION,Defense priming,Cis-jasmone,Cis-jasmone,VOC,,Apply 100-500 ppm foliar spray,Enhanced volatile defense,MEDIUM,All crops
FOLIAR_APPLICATION,Indirect defense,Trans-jasmone,Trans-jasmone,VOC,,Apply 100-500 ppm foliar spray,Attracts natural enemies,MEDIUM,IPM systems
FOLIAR_APPLICATION,Defense priming,Z-3-hexenol,Z-3-hexenol,VOC,,Apply 10-50 ppm foliar spray,Primed defense responses,MEDIUM,All crops
FOLIAR_APPLICATION,Defense priming,Z-3-hexenal,Z-3-hexenal,VOC,,Apply 10-50 ppm foliar spray,Primed defense responses,MEDIUM,All crops
FOLIAR_APPLICATION,Thermotolerance,Isoprene,Isoprene,VOC,,Apply 10-50 ppm foliar spray,Improved heat tolerance,LOW,Research use
FOLIAR_APPLICATION,Stress signaling,Monoterpenes,Monoterpenes,VOC,,Apply 10-50 ppm foliar spray,Activated stress pathways,LOW,Research use
FOLIAR_APPLICATION,Systemic regulation,Mobile miRNAs,Mobile miRNAs,RNA,,Apply via root drench,Gene silencing across tissues,LOW,Research use
FOLIAR_APPLICATION,Flowering signal,Florigen FT protein,Florigen FT protein,Peptide,,Apply 1-10 ppm foliar spray,Induced reproductive transition,LOW,Grafting studies
FOLIAR_APPLICATION,Root-shoot signaling,CLE RALF CEP PSK peptides,CLE/RALF/CEP/PSK peptides,Peptide,,Apply 1-10 ppm foliar spray,Modulated growth responses,LOW,Experimental
FOLIAR_APPLICATION,SAR priming,Pipecolic acid,Pipecolic acid,SAR Signal,,Apply 50-200 ppm foliar spray,Enhanced systemic resistance,MEDIUM,All crops
FOLIAR_APPLICATION,Potent SAR activator,NHP,N-hydroxy-pipecolic acid,SAR Signal,,Apply 10-100 ppm foliar spray,Strong SAR induction,HIGH,Research use
FOLIAR_APPLICATION,Defense priming,Azelaic acid,Azelaic acid,SAR Signal,,Apply 100-300 ppm foliar spray,Enhanced defense responses,MEDIUM,All crops
FOLIAR_APPLICATION,Immunity priming,BABA,²-aminobutyric acid,SAR Signal,,Apply 50-200 ppm foliar spray,Primed immunity,MEDIUM,All crops
FOLIAR_APPLICATION,Cell wall fortification & stress mitigation,Silicon,Silicon (Si),Beneficial element,,Apply 1-2 g/L foliar spray,"Enhanced drought tolerance, lodging resistance, pathogen defense",HIGH,"Cereals, vegetables"
FOLIAR_APPLICATION,Pathogen inhibition & SAR induction,Phosphite,Phosphorous acid,Phosphonate fungicide/biostimulant,,Apply 0.5-1 kg/ha foliar spray,Disease control and immune priming,HIGH,"Orchards, vegetables"
SOIL_APPLICATION,Soil drench for SAR,Phosphite,Phosphorous acid,Phosphonate fungicide/biostimulant,,Apply 2-4 kg/ha soil drench,"Systemic resistance induction, improved growth",MEDIUM,"Vegetables, orchard crops"
FOLIAR_APPLICATION,Defense elicitor & growth promoter,Laminarin oligomers,Laminarin oligosaccharides,Marine biostimulant,,Apply 0.-2 L/ha foliar spray,Enhanced defense responses and growth,MEDIUM,All crops
FOLIAR_APPLICATION,Defense signaling & root growth,Ulvan oligomers,Ulvan oligosaccharides,Marine biostimulant,,Apply 0.5-2 L/ha foliar spray,Improved root and shoot biomass,MEDIUM,All crops
FOLIAR_APPLICATION,Antioxidant & circadian regulation,Serotonin,Serotonin (5-HT),Indolamine derivative,,Apply 10-50 ppm foliar spray,Improved stress tolerance and antioxidant capacity,MEDIUM,All crops
SEED_TREATMENT,Seed priming,Serotonin,Serotonin (5-HT),Indolamine derivative,,Apply 10-50 ppm seed soak,Enhanced germination and stress resilience,MEDIUM,All crops
SEED_TREATMENT,Growth stimulator at low dose,Imidacloprid,Imidacloprid,Neonicotinoid,,Apply 5-20 ppm seed treatment,Mild growth stimulation,LOW,
SEED_TREATMENT,Stress tolerance enhancer,Clothianidin,Clothianidin,Neonicotinoid,,Apply 5-20 ppm seed treatment,Enhanced stress tolerance,LOW,
SEED_TREATMENT,Root growth promotion,Acetamiprid,Acetamiprid,Neonicotinoid,,Apply 5-20 ppm seed treatment,Promoted root development,LOW,
SEED_TREATMENT,Growth regulator,Thiacloprid,Thiacloprid,Neonicotinoid,,Apply 5-20 ppm seed treatment,Modulated growth patterns,LOW,
SEED_TREATMENT,Stress gene regulation,Dinotefuran,Dinotefuran,Neonicotinoid,,Apply 5-20 ppm seed treatment,Enhanced defense gene activation,LOW,
FOLIAR_APPLICATION,Pathogen control + PGR,Trifloxystrobin,Trifloxystrobin,Strobilurin fungicide,,Apply 75-125 g/ha foliar spray,Disease control and delayed senescence,HIGH,All crops
FOLIAR_APPLICATION,Photosynthesis enhancer,Kresoxim-methyl,Kresoxim-methyl,Strobilurin fungicide,,Apply 75-150 g/ha foliar spray,Improved yield and greening effect,MEDIUM,All crops
FOLIAR_APPLICATION,Stress tolerance,Picoxystrobin,Picoxystrobin,Strobilurin fungicide,,Apply 75-125 g/ha foliar spray,Enhanced stress tolerance,MEDIUM,All crops
FOLIAR_APPLICATION,Growth regulator,Propiconazole,Propiconazole,Triazole fungicide,,Apply 150-300 g/ha foliar spray,Disease control + reduced internode elongation,HIGH,"Cereals, fruit trees"
FOLIAR_APPLICATION,Growth regulator,Hexaconazole,Hexaconazole,Triazole fungicide,,Apply 100-200 g/ha foliar spray,Disease control + lodging prevention,MEDIUM,"Rice, cereals"
FOLIAR_APPLICATION,GA biosynthesis inhibition,Triadimefon,Triadimefon,Triazole fungicide,,Apply 150-300 g/ha foliar spray,Reduced plant height + disease control,MEDIUM,"Turf, cereals"
FOLIAR_APPLICATION,Growth regulation,Myclobutanil,Myclobutanil,Triazole fungicide,,Apply 100-250 g/ha foliar spray,Disease control + stress tolerance,MEDIUM,"Fruit trees, ornamentals"
FOLIAR_APPLICATION,Tubulin inhibitor,Carbendazim,Carbendazim,Benzimidazole fungicide,,Apply 200-400 g/ha foliar spray,Fungal control + growth regulation,HIGH,All crops
FOLIAR_APPLICATION,Mitotic inhibitor,Benomyl,Benomyl,Benzimidazole fungicide,,Apply 200-300 g/ha foliar spray,Disease control + yield improvement,MEDIUM,"Ornamentals, vegetables"
